id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
8424,Korean,North Indian,Japanese,,
8425,Cold Drinks,Beverages,Mexican,Italian,
8426,Korean,Fast Food,Beverages,,
8427,Chinese,Fast Food,,,
8428,Korean,Mexican,Beverages,Japanese,Chinese
8429,Beverages,Fast Food,Chinese,,
8430,Mexican,Fast Food,Cold Drinks,North Indian,
8431,Italian,Fast Food,Korean,,
8432,North Indian,Japanese,Fast Food,South Indian,Mexican
8433,South Indian,Cold Drinks,Mexican,Italian,Beverages
8434,Mexican,,,,
8435,Japanese,Fast Food,,,
8436,Beverages,Fast Food,Chinese,,
8437,North Indian,Japanese,Chinese,,
8438,South Indian,Mexican,Fast Food,Beverages,Japanese
8439,North Indian,Japanese,Mexican,,
8440,Japanese,Mexican,Cold Drinks,North Indian,
8441,South Indian,,,,
8442,Chinese,South Indian,Italian,Cold Drinks,
8443,Chinese,Beverages,South Indian,,
8444,Beverages,Chinese,Japanese,Mexican,North Indian
8445,Beverages,Cold Drinks,North Indian,,
8446,Japanese,North Indian,,,
8447,Beverages,Chinese,Fast Food,Cold Drinks,North Indian
8448,Beverages,South Indian,,,
8449,Japanese,Fast Food,South Indian,,
8450,Fast Food,,,,
8451,North Indian,Italian,Chinese,Fast Food,
8452,Chinese,Mexican,Korean,Beverages,
8453,Mexican,Fast Food,South Indian,Japanese,Cold Drinks
8454,Fast Food,,,,
8455,Korean,Fast Food,Japanese,South Indian,Chinese
8456,Chinese,Japanese,Cold Drinks,Mexican,
8457,Chinese,Japanese,Beverages,South Indian,North Indian
8458,Chinese,Italian,,,
8459,Japanese,Beverages,Chinese,,
8460,Chinese,North Indian,South Indian,,
8461,Japanese,North Indian,,,
8462,Korean,Japanese,,,
8463,Mexican,Korean,Japanese,Fast Food,
8464,Japanese,North Indian,Cold Drinks,,
8465,Japanese,Chinese,,,
8466,Fast Food,,,,
8467,Mexican,Italian,North Indian,,
8468,Korean,South Indian,Chinese,Italian,Japanese
8469,South Indian,Italian,,,
8470,Beverages,Fast Food,Italian,,
8471,North Indian,Fast Food,Chinese,Japanese,Cold Drinks
8472,Italian,Japanese,Beverages,Cold Drinks,South Indian
8473,South Indian,Chinese,Beverages,,
8474,Japanese,South Indian,,,
8475,Mexican,Beverages,Cold Drinks,,
8476,Chinese,,,,
8477,Japanese,Chinese,Cold Drinks,,
8478,South Indian,Cold Drinks,Italian,Beverages,
8479,Korean,Cold Drinks,Japanese,Italian,
8480,North Indian,Japanese,Fast Food,Italian,
8481,Cold Drinks,Chinese,Beverages,South Indian,North Indian
8482,South Indian,Chinese,Mexican,,
8483,Chinese,South Indian,Mexican,North Indian,
8484,Korean,,,,
8485,Beverages,Fast Food,Chinese,,
8486,Fast Food,Mexican,Cold Drinks,,
8487,Japanese,Mexican,Korean,,
8488,Japanese,,,,
8489,South Indian,Fast Food,Korean,,
8490,Mexican,Fast Food,South Indian,,
8491,Korean,Japanese,Chinese,Fast Food,
8492,Japanese,Korean,Chinese,,
8493,Mexican,,,,
8494,Chinese,Japanese,Mexican,Fast Food,North Indian
8495,Mexican,Beverages,Italian,,
8496,South Indian,Cold Drinks,,,
8497,Fast Food,,,,
8498,Mexican,North Indian,South Indian,Italian,
8499,South Indian,Fast Food,,,
8500,Chinese,Japanese,Korean,Fast Food,Beverages
8501,Japanese,South Indian,Beverages,,
8502,South Indian,Beverages,Cold Drinks,Korean,
8503,South Indian,,,,
8504,Beverages,South Indian,Chinese,Fast Food,Italian
8505,Mexican,Japanese,,,
8506,Chinese,Cold Drinks,North Indian,Japanese,Korean
8507,Italian,Mexican,Japanese,Chinese,Beverages
8508,Beverages,Fast Food,North Indian,,
8509,South Indian,Beverages,Japanese,Chinese,
8510,Mexican,Japanese,Italian,Beverages,Chinese
8511,South Indian,Chinese,Fast Food,North Indian,
8512,North Indian,Beverages,Chinese,,
8513,Mexican,North Indian,Korean,Beverages,Fast Food
8514,Cold Drinks,Italian,South Indian,,
8515,South Indian,Beverages,,,
8516,Beverages,,,,
8517,Cold Drinks,Italian,South Indian,Mexican,Japanese
8518,Mexican,Korean,South Indian,,
8519,Mexican,North Indian,Japanese,,
8520,Italian,Japanese,South Indian,Mexican,North Indian
8521,Japanese,Fast Food,Chinese,Mexican,
8522,Beverages,Italian,South Indian,,
8523,North Indian,South Indian,,,
8524,Chinese,,,,
8525,Beverages,,,,
8526,North Indian,,,,
8527,Japanese,Mexican,Fast Food,,
8528,Mexican,Cold Drinks,South Indian,,
8529,Japanese,,,,
8530,Fast Food,Japanese,,,
8531,Mexican,South Indian,Italian,Chinese,
8532,Italian,Beverages,Chinese,Fast Food,South Indian
8533,Chinese,South Indian,Beverages,Korean,
8534,Fast Food,,,,
8535,Italian,Fast Food,Cold Drinks,Chinese,
8536,Chinese,,,,
8537,Fast Food,,,,
8538,Cold Drinks,,,,
8539,Fast Food,Italian,Chinese,,
8540,Mexican,Cold Drinks,South Indian,,
8541,North Indian,,,,
8542,South Indian,,,,
8543,Japanese,Italian,Fast Food,Mexican,
8544,Cold Drinks,Fast Food,Italian,,
8545,South Indian,Italian,Mexican,,
8546,Japanese,South Indian,Beverages,,
8547,Beverages,Cold Drinks,Korean,Chinese,Japanese
8548,Cold Drinks,Korean,Chinese,Beverages,
8549,Korean,Italian,Fast Food,Beverages,Chinese
8550,Beverages,Chinese,South Indian,Fast Food,
8551,Japanese,Mexican,Korean,Chinese,South Indian
8552,Mexican,Chinese,Italian,,
8553,South Indian,Korean,,,
8554,Cold Drinks,North Indian,Mexican,Korean,
8555,Italian,,,,
8556,Chinese,North Indian,Japanese,Cold Drinks,Beverages
8557,Italian,Cold Drinks,South Indian,Fast Food,
8558,Japanese,Beverages,North Indian,Italian,Fast Food
8559,Cold Drinks,North Indian,Korean,Chinese,
8560,Mexican,Chinese,North Indian,,
8561,Mexican,Fast Food,Japanese,,
8562,South Indian,Fast Food,Korean,,
8563,Chinese,Korean,North Indian,,
8564,South Indian,Japanese,,,
8565,North Indian,,,,
8566,Italian,North Indian,South Indian,Japanese,Chinese
8567,Japanese,,,,
8568,Chinese,South Indian,,,
8569,North Indian,Korean,,,
8570,Korean,Cold Drinks,,,
8571,Beverages,Mexican,Italian,Cold Drinks,South Indian
8572,Japanese,Korean,North Indian,,
8573,Italian,Chinese,South Indian,,
8574,Cold Drinks,Fast Food,South Indian,,
8575,South Indian,Chinese,Korean,,
8576,Korean,,,,
8577,South Indian,Beverages,Chinese,Korean,Japanese
8578,North Indian,Japanese,Chinese,,
8579,Beverages,,,,
8580,Japanese,Fast Food,Cold Drinks,,
8581,South Indian,Korean,North Indian,Japanese,
8582,Korean,Beverages,Mexican,,
8583,Korean,Cold Drinks,,,
8584,Mexican,South Indian,Chinese,North Indian,
8585,Italian,Mexican,South Indian,,
8586,Japanese,Italian,,,
8587,South Indian,Cold Drinks,,,
8588,Japanese,North Indian,Chinese,Italian,Mexican
8589,Cold Drinks,Mexican,Korean,,
8590,Fast Food,South Indian,Beverages,Mexican,North Indian
8591,Japanese,Italian,Chinese,Fast Food,North Indian
8592,Italian,Chinese,Mexican,,
8593,Chinese,South Indian,,,
8594,North Indian,Beverages,Italian,South Indian,
8595,South Indian,Italian,Korean,,
8596,Italian,North Indian,South Indian,,
8597,South Indian,Cold Drinks,Chinese,Japanese,
8598,Mexican,Cold Drinks,,,
8599,Chinese,South Indian,Fast Food,North Indian,
8600,Fast Food,Italian,,,
8601,North Indian,Fast Food,South Indian,,
8602,Italian,North Indian,,,
8603,Cold Drinks,Italian,Japanese,Beverages,Chinese
8604,South Indian,Fast Food,Italian,Chinese,
8605,Mexican,,,,
8606,Fast Food,,,,
8607,South Indian,North Indian,Cold Drinks,,
8608,Korean,,,,
8609,North Indian,South Indian,Beverages,,
8610,Italian,Beverages,Japanese,Fast Food,Mexican
8611,Fast Food,Korean,Beverages,,
8612,North Indian,Italian,Beverages,Cold Drinks,South Indian
8613,Fast Food,,,,
8614,Cold Drinks,South Indian,Chinese,Mexican,Korean
8615,Beverages,Korean,,,
8616,South Indian,Beverages,,,
8617,Chinese,Japanese,South Indian,Fast Food,
8618,Italian,Fast Food,,,
8619,Japanese,Mexican,Cold Drinks,,
8620,Korean,Beverages,,,
8621,Beverages,North Indian,Mexican,Cold Drinks,Fast Food
8622,Japanese,Korean,Italian,Chinese,Mexican
8623,South Indian,North Indian,Cold Drinks,Mexican,Chinese
8624,Cold Drinks,Japanese,Italian,Mexican,Fast Food
8625,Korean,,,,
8626,Fast Food,Chinese,Cold Drinks,Korean,Mexican
8627,Fast Food,,,,
8628,Fast Food,Cold Drinks,Korean,Mexican,South Indian
8629,Japanese,,,,
8630,Cold Drinks,North Indian,Chinese,Fast Food,
8631,Italian,South Indian,Korean,,
8632,Cold Drinks,Mexican,Chinese,Beverages,Korean
8633,Fast Food,Cold Drinks,Chinese,,
8634,North Indian,Chinese,Cold Drinks,,
8635,Beverages,North Indian,,,
8636,Fast Food,Beverages,Chinese,Cold Drinks,North Indian
8637,Japanese,Mexican,,,
8638,Chinese,Mexican,,,
8639,Beverages,Mexican,Fast Food,,
8640,Korean,North Indian,Beverages,,
8641,Mexican,Chinese,Italian,Japanese,North Indian
8642,Korean,Japanese,Italian,Chinese,South Indian
8643,Cold Drinks,South Indian,Fast Food,North Indian,Chinese
8644,Beverages,Korean,Fast Food,Cold Drinks,South Indian
8645,Italian,,,,
8646,Italian,Japanese,South Indian,Beverages,
8647,Cold Drinks,Mexican,South Indian,,
8648,Beverages,Cold Drinks,Fast Food,Japanese,North Indian
8649,Cold Drinks,Japanese,Beverages,Mexican,South Indian
8650,Chinese,Beverages,Japanese,South Indian,
8651,Japanese,North Indian,,,
8652,Beverages,Mexican,Japanese,North Indian,
8653,Korean,Mexican,North Indian,Japanese,
8654,Cold Drinks,,,,
8655,Beverages,Japanese,Cold Drinks,,
8656,South Indian,Mexican,,,
8657,Beverages,Italian,Fast Food,Japanese,Korean
8658,Cold Drinks,South Indian,Korean,North Indian,
8659,Korean,Beverages,South Indian,,
8660,Chinese,North Indian,Mexican,Italian,Cold Drinks
8661,Beverages,South Indian,Italian,Korean,Cold Drinks
8662,Korean,Italian,Fast Food,Mexican,
8663,Cold Drinks,Italian,,,
8664,Italian,Fast Food,Beverages,Cold Drinks,Mexican
8665,Japanese,Fast Food,Korean,,
8666,Chinese,Beverages,Cold Drinks,,
8667,Italian,Chinese,Cold Drinks,Korean,
8668,Italian,,,,
8669,Korean,Beverages,Mexican,North Indian,Fast Food
8670,Beverages,Korean,Fast Food,Cold Drinks,
8671,North Indian,Beverages,Japanese,Cold Drinks,Mexican
8672,Japanese,,,,
8673,Mexican,Italian,Japanese,Fast Food,
8674,Italian,North Indian,Mexican,Beverages,Fast Food
8675,Fast Food,Japanese,,,
8676,Fast Food,,,,
8677,Fast Food,Cold Drinks,,,
8678,Chinese,Beverages,,,
8679,Mexican,Fast Food,,,
8680,Cold Drinks,Beverages,South Indian,Italian,
8681,Korean,Japanese,Mexican,,
8682,Beverages,Japanese,Chinese,,
8683,South Indian,Chinese,,,
8684,Japanese,Cold Drinks,,,
8685,North Indian,Fast Food,Korean,,
8686,Mexican,,,,
8687,Mexican,South Indian,Cold Drinks,Fast Food,Italian
8688,South Indian,Cold Drinks,Italian,Korean,Fast Food
8689,Cold Drinks,South Indian,Beverages,Fast Food,Italian
8690,Japanese,Mexican,,,
8691,Cold Drinks,Chinese,Korean,Beverages,
8692,Beverages,South Indian,Italian,Mexican,Fast Food
8693,Chinese,,,,
8694,Italian,South Indian,Japanese,,
8695,Mexican,Chinese,,,
8696,Beverages,Italian,,,
8697,Fast Food,North Indian,Korean,,
8698,Fast Food,Mexican,South Indian,North Indian,Italian
8699,Beverages,Italian,South Indian,Japanese,Cold Drinks
8700,Chinese,,,,
8701,Cold Drinks,South Indian,North Indian,Korean,Fast Food
8702,Mexican,Korean,Japanese,Chinese,South Indian
8703,Mexican,Japanese,,,
8704,Italian,Korean,,,
8705,Cold Drinks,Italian,Japanese,North Indian,Beverages
8706,South Indian,Italian,,,
8707,Beverages,Italian,North Indian,,
8708,Chinese,Mexican,Fast Food,North Indian,
8709,Fast Food,Chinese,Korean,,
8710,Japanese,North Indian,Italian,,
8711,Korean,,,,
8712,Beverages,Cold Drinks,Mexican,,
8713,Beverages,,,,
8714,Korean,Fast Food,Cold Drinks,Mexican,Japanese
8715,Beverages,Japanese,Cold Drinks,Korean,
8716,Fast Food,Korean,South Indian,Beverages,Mexican
8717,Fast Food,Beverages,,,
8718,Korean,Japanese,Mexican,Fast Food,North Indian
8719,Fast Food,Chinese,Japanese,Mexican,Italian
8720,Korean,Mexican,,,
8721,Korean,,,,
8722,Mexican,North Indian,,,
8723,Chinese,Mexican,,,
8724,Fast Food,Mexican,Beverages,,
8725,Korean,Cold Drinks,,,
8726,Chinese,,,,
8727,Beverages,Mexican,Italian,Fast Food,
8728,Beverages,Mexican,Japanese,,
8729,Japanese,Italian,Chinese,Fast Food,
8730,Chinese,Cold Drinks,Japanese,Italian,Mexican
8731,Fast Food,Japanese,Chinese,,
8732,Beverages,Mexican,Italian,Korean,Fast Food
8733,Korean,,,,
8734,Mexican,Cold Drinks,Beverages,South Indian,Italian
8735,Korean,North Indian,Cold Drinks,,
8736,Cold Drinks,North Indian,Chinese,Italian,Fast Food
8737,Japanese,Korean,Beverages,South Indian,
8738,Chinese,Italian,South Indian,Korean,
8739,Japanese,South Indian,,,
8740,North Indian,,,,
8741,Cold Drinks,Fast Food,Chinese,,
8742,Chinese,South Indian,,,
8743,Fast Food,Chinese,,,
8744,Italian,Fast Food,,,
8745,Mexican,North Indian,,,
8746,Fast Food,Italian,Cold Drinks,,
8747,North Indian,Chinese,Cold Drinks,South Indian,
8748,Chinese,,,,
8749,Fast Food,,,,
8750,North Indian,Fast Food,South Indian,Mexican,
8751,Fast Food,,,,
8752,Mexican,Italian,,,
8753,Fast Food,Beverages,,,
8754,Fast Food,Chinese,Cold Drinks,Korean,
8755,South Indian,Japanese,,,
8756,South Indian,Beverages,Mexican,,
8757,Beverages,,,,
8758,Chinese,,,,
8759,Korean,Cold Drinks,South Indian,,
8760,Chinese,Japanese,Mexican,,
8761,Mexican,Japanese,Fast Food,Korean,
8762,South Indian,,,,
8763,South Indian,Cold Drinks,,,
8764,Chinese,,,,
8765,South Indian,Chinese,,,
8766,Cold Drinks,South Indian,,,
8767,Chinese,,,,
8768,Cold Drinks,South Indian,,,
8769,Japanese,Chinese,Italian,Korean,
8770,Korean,Fast Food,,,
8771,Korean,South Indian,Italian,,
8772,Korean,Fast Food,South Indian,,
8773,North Indian,Italian,Japanese,South Indian,Cold Drinks
8774,Beverages,Japanese,Cold Drinks,South Indian,Fast Food
8775,North Indian,Beverages,,,
8776,Fast Food,South Indian,Korean,North Indian,
8777,Mexican,South Indian,Japanese,Cold Drinks,Chinese
8778,Japanese,,,,
8779,South Indian,Mexican,North Indian,,
8780,Fast Food,South Indian,,,
8781,Korean,Italian,Japanese,Chinese,
8782,Beverages,Korean,Chinese,North Indian,
8783,Korean,Chinese,North Indian,,
8784,Japanese,,,,
8785,Japanese,Fast Food,,,
8786,Korean,Fast Food,Chinese,Mexican,Beverages
8787,Korean,Beverages,Japanese,Cold Drinks,Mexican
8788,Chinese,Korean,,,
8789,Fast Food,Cold Drinks,Korean,Beverages,Italian
8790,Fast Food,Korean,,,
8791,South Indian,Beverages,,,
8792,Cold Drinks,South Indian,Italian,Japanese,
8793,Mexican,,,,
8794,Beverages,Chinese,Korean,Japanese,
8795,Japanese,Cold Drinks,,,
8796,Chinese,Japanese,Mexican,,
8797,Fast Food,North Indian,Chinese,Mexican,
8798,Italian,Fast Food,Korean,,
8799,Beverages,Cold Drinks,North Indian,Chinese,Japanese
8800,Cold Drinks,Beverages,South Indian,Chinese,Mexican
8801,Italian,Mexican,Japanese,Cold Drinks,Chinese
8802,Chinese,,,,
8803,South Indian,Fast Food,,,
8804,Japanese,Korean,North Indian,Italian,
8805,Italian,North Indian,Cold Drinks,Korean,
8806,North Indian,,,,
8807,Cold Drinks,Fast Food,Italian,South Indian,Beverages
8808,Japanese,Mexican,Cold Drinks,,
8809,Japanese,Fast Food,North Indian,Chinese,
8810,South Indian,Beverages,Korean,Fast Food,
8811,Beverages,,,,
8812,Japanese,Fast Food,Cold Drinks,Chinese,North Indian
8813,Fast Food,Beverages,,,
8814,Cold Drinks,Japanese,,,
8815,Mexican,Japanese,,,
8816,Beverages,,,,
8817,North Indian,South Indian,Fast Food,Italian,
8818,North Indian,Italian,South Indian,,
8819,North Indian,South Indian,Beverages,,
8820,Korean,Cold Drinks,Beverages,Italian,
8821,Cold Drinks,Beverages,Mexican,Chinese,
8822,Cold Drinks,,,,
8823,Cold Drinks,Beverages,South Indian,Mexican,
8824,Italian,Japanese,Korean,Mexican,
8825,Italian,South Indian,Cold Drinks,Fast Food,Mexican
8826,North Indian,Korean,,,
8827,North Indian,South Indian,Chinese,Italian,Japanese
8828,Italian,North Indian,Mexican,Japanese,
8829,Japanese,Fast Food,Chinese,,
8830,Italian,Japanese,Korean,Mexican,
8831,Beverages,Italian,Cold Drinks,,
8832,North Indian,Korean,Mexican,,
8833,Fast Food,Beverages,,,
8834,Cold Drinks,Beverages,,,
8835,South Indian,,,,
8836,South Indian,,,,
8837,Beverages,Mexican,Fast Food,Chinese,
8838,Italian,Japanese,Chinese,North Indian,Korean
8839,Cold Drinks,North Indian,South Indian,Italian,Beverages
8840,Italian,Mexican,Chinese,South Indian,Beverages
8841,Italian,South Indian,Mexican,Cold Drinks,Beverages
8842,North Indian,Fast Food,South Indian,,
8843,Beverages,North Indian,South Indian,Italian,
8844,Fast Food,,,,
8845,South Indian,North Indian,Chinese,Korean,Fast Food
8846,Korean,Chinese,Mexican,South Indian,Japanese
8847,Beverages,Mexican,Fast Food,South Indian,
8848,Korean,Fast Food,,,
8849,Mexican,Italian,Fast Food,,
8850,South Indian,Italian,,,
8851,Beverages,,,,
8852,Beverages,Chinese,North Indian,Japanese,
8853,Fast Food,Mexican,,,
8854,Beverages,Italian,Japanese,,
8855,North Indian,Japanese,,,
8856,Chinese,Cold Drinks,South Indian,Fast Food,Mexican
8857,Mexican,Chinese,Fast Food,Beverages,Cold Drinks
8858,Fast Food,Cold Drinks,North Indian,Korean,Chinese
8859,Korean,Japanese,,,
8860,Beverages,Japanese,,,
8861,Cold Drinks,Japanese,Chinese,,
8862,Beverages,,,,
8863,Chinese,Korean,Japanese,North Indian,
8864,Chinese,Mexican,Korean,,
8865,North Indian,Italian,,,
8866,Cold Drinks,Japanese,,,
8867,Fast Food,,,,
8868,Mexican,North Indian,South Indian,Chinese,
8869,Japanese,Italian,,,
8870,Fast Food,,,,
8871,Japanese,Korean,Mexican,Italian,South Indian
8872,South Indian,Italian,Chinese,,
8873,Italian,,,,
8874,Italian,Beverages,Chinese,Mexican,
8875,Mexican,,,,
8876,Japanese,,,,
8877,Fast Food,Beverages,North Indian,Japanese,
8878,Fast Food,Mexican,Korean,,
8879,Fast Food,,,,
8880,Japanese,Chinese,Beverages,Cold Drinks,
8881,Mexican,North Indian,Japanese,Cold Drinks,Italian
8882,Chinese,Beverages,Korean,,
8883,Mexican,,,,
8884,Korean,North Indian,Japanese,,
8885,Mexican,Japanese,Beverages,North Indian,Fast Food
8886,Italian,,,,
8887,Chinese,Beverages,Italian,Korean,
8888,Cold Drinks,Japanese,Korean,,
8889,Beverages,,,,
8890,North Indian,Fast Food,Korean,Beverages,Italian
8891,Japanese,Fast Food,Chinese,Cold Drinks,
8892,Mexican,Beverages,Japanese,Chinese,Italian
8893,Korean,,,,
8894,Chinese,,,,
8895,Mexican,,,,
8896,Chinese,Cold Drinks,North Indian,Fast Food,
8897,Fast Food,Mexican,Beverages,,
8898,North Indian,,,,
8899,Italian,Cold Drinks,Chinese,,
8900,Beverages,Japanese,,,
8901,Italian,,,,
8902,North Indian,Mexican,South Indian,Italian,Fast Food
8903,Italian,Mexican,,,
8904,Italian,North Indian,Korean,,
8905,Mexican,Chinese,Fast Food,Italian,Beverages
8906,Korean,Japanese,Cold Drinks,,
8907,Mexican,,,,
8908,Beverages,Italian,,,
8909,North Indian,Chinese,Italian,South Indian,
8910,Japanese,Korean,Mexican,,
8911,Japanese,,,,
8912,Korean,Italian,,,
8913,Korean,Chinese,Cold Drinks,Fast Food,Italian
8914,South Indian,Chinese,Japanese,Cold Drinks,
8915,South Indian,Italian,,,
8916,Beverages,Japanese,Korean,,
8917,Chinese,South Indian,North Indian,Italian,
8918,Italian,South Indian,,,
8919,Italian,,,,
8920,Cold Drinks,Mexican,,,
8921,Italian,Beverages,Mexican,Japanese,South Indian
8922,Japanese,,,,
8923,Italian,Japanese,South Indian,North Indian,
8924,Korean,Fast Food,South Indian,Japanese,
8925,Cold Drinks,Beverages,,,
8926,Mexican,Beverages,,,
8927,Japanese,Italian,,,
8928,Beverages,South Indian,Mexican,,
8929,Korean,Italian,Mexican,,
8930,Cold Drinks,Chinese,South Indian,Mexican,
8931,Japanese,South Indian,Chinese,,
8932,Mexican,South Indian,Fast Food,Korean,Chinese
8933,Cold Drinks,Fast Food,Beverages,Korean,Chinese
8934,Beverages,Italian,,,
8935,Chinese,Italian,Korean,Japanese,
8936,Chinese,,,,
8937,Fast Food,North Indian,Chinese,South Indian,Italian
8938,Fast Food,Japanese,,,
8939,Japanese,,,,
8940,North Indian,South Indian,Chinese,,
8941,Beverages,Italian,Chinese,South Indian,
8942,Korean,Japanese,Fast Food,,
8943,Fast Food,Mexican,Italian,Korean,Japanese
8944,Chinese,Japanese,,,
8945,Japanese,,,,
8946,Korean,,,,
8947,Chinese,Mexican,Cold Drinks,Korean,
8948,Italian,,,,
8949,Japanese,Korean,,,
8950,Korean,,,,
8951,Italian,Beverages,,,
8952,Chinese,Italian,South Indian,Japanese,Beverages
8953,Chinese,,,,
8954,Beverages,Korean,Fast Food,Mexican,
8955,Mexican,Korean,North Indian,,
8956,Italian,South Indian,Cold Drinks,North Indian,
8957,Japanese,,,,
8958,Cold Drinks,Italian,Fast Food,,
8959,Korean,,,,
8960,South Indian,Italian,Chinese,North Indian,
8961,North Indian,Korean,Beverages,Japanese,South Indian
8962,South Indian,Korean,,,
8963,Cold Drinks,Italian,,,
8964,Korean,Cold Drinks,,,
8965,Cold Drinks,,,,
8966,Fast Food,,,,
8967,North Indian,Beverages,Japanese,Korean,Mexican
8968,Korean,Italian,,,
8969,Fast Food,,,,
8970,Fast Food,Beverages,Mexican,Korean,North Indian
8971,Fast Food,South Indian,,,
8972,Chinese,Korean,Italian,,
8973,Korean,South Indian,Cold Drinks,,
8974,North Indian,Beverages,Italian,Fast Food,
8975,Cold Drinks,Fast Food,South Indian,Italian,Japanese
8976,Italian,Korean,Japanese,Mexican,Chinese
8977,Mexican,Chinese,Cold Drinks,Italian,
8978,Italian,Korean,Mexican,,
8979,North Indian,,,,
8980,Italian,South Indian,Japanese,Cold Drinks,
8981,South Indian,North Indian,Beverages,Fast Food,Chinese
8982,Italian,South Indian,Chinese,,
8983,South Indian,Mexican,Korean,Japanese,Beverages
8984,Mexican,,,,
8985,Korean,Cold Drinks,North Indian,Fast Food,
8986,South Indian,Italian,,,
8987,South Indian,Korean,Cold Drinks,Beverages,
8988,Japanese,,,,
8989,Japanese,Korean,South Indian,,
8990,South Indian,Chinese,Cold Drinks,Italian,
8991,North Indian,South Indian,Fast Food,Italian,
8992,North Indian,Chinese,Cold Drinks,Italian,
8993,Fast Food,North Indian,,,
8994,Beverages,South Indian,Fast Food,Korean,Mexican
8995,Fast Food,South Indian,,,
8996,Italian,Chinese,Korean,Cold Drinks,
8997,Cold Drinks,,,,
8998,Mexican,South Indian,Chinese,Beverages,
8999,Fast Food,,,,
9000,Korean,Cold Drinks,Italian,South Indian,Beverages
9001,North Indian,Beverages,Fast Food,Korean,
9002,Fast Food,Beverages,,,
9003,South Indian,Mexican,,,
9004,South Indian,,,,
9005,Chinese,North Indian,,,
9006,Fast Food,Mexican,North Indian,Korean,South Indian
9007,South Indian,,,,
9008,Cold Drinks,North Indian,,,
9009,Japanese,,,,
9010,Beverages,Cold Drinks,Japanese,,
9011,Italian,South Indian,,,
9012,North Indian,Beverages,,,
9013,North Indian,,,,
9014,Cold Drinks,Chinese,,,
9015,Korean,Beverages,Fast Food,Japanese,South Indian
9016,Mexican,Fast Food,,,
9017,Beverages,Cold Drinks,North Indian,Korean,Chinese
9018,Chinese,Korean,,,
9019,Mexican,South Indian,Fast Food,,
9020,Korean,Cold Drinks,Italian,,
9021,Korean,Fast Food,Chinese,Italian,Japanese
9022,Fast Food,South Indian,,,
9023,South Indian,Mexican,,,
9024,South Indian,Japanese,Beverages,Fast Food,Korean
9025,North Indian,Fast Food,Korean,Beverages,
9026,Japanese,Fast Food,Beverages,,
9027,Beverages,Fast Food,,,
9028,Korean,South Indian,Cold Drinks,North Indian,Beverages
9029,South Indian,Chinese,,,
9030,Mexican,Beverages,,,
9031,Beverages,Chinese,Cold Drinks,North Indian,Italian
9032,Beverages,Fast Food,Japanese,,
9033,Beverages,Chinese,Cold Drinks,North Indian,
9034,Korean,,,,
9035,North Indian,Cold Drinks,Japanese,Korean,
9036,North Indian,,,,
9037,Italian,South Indian,,,
9038,Italian,North Indian,Beverages,Korean,Japanese
9039,Beverages,Mexican,Italian,North Indian,
9040,South Indian,Fast Food,Korean,Italian,Mexican
9041,North Indian,Italian,South Indian,Cold Drinks,Japanese
9042,South Indian,Japanese,Cold Drinks,North Indian,Beverages
9043,Fast Food,Cold Drinks,South Indian,Korean,Mexican
9044,Beverages,,,,
9045,Beverages,,,,
9046,Cold Drinks,Fast Food,Italian,,
9047,Mexican,Beverages,North Indian,Korean,Cold Drinks
9048,Korean,Cold Drinks,,,
9049,Korean,Cold Drinks,Italian,Mexican,Chinese
9050,Cold Drinks,Korean,,,
9051,Cold Drinks,Japanese,Mexican,Fast Food,
9052,Fast Food,,,,
9053,Korean,Chinese,,,
9054,Japanese,Cold Drinks,Italian,,
9055,Chinese,Italian,Korean,South Indian,
9056,Beverages,Italian,Korean,South Indian,Cold Drinks
9057,Fast Food,Mexican,Japanese,Italian,
9058,South Indian,North Indian,Chinese,,
9059,North Indian,Korean,South Indian,Mexican,
9060,South Indian,North Indian,Japanese,,
9061,South Indian,Mexican,,,
9062,North Indian,Japanese,,,
9063,Cold Drinks,Korean,Fast Food,,
9064,South Indian,Fast Food,Beverages,,
9065,Beverages,Mexican,Japanese,South Indian,Italian
9066,Korean,,,,
9067,South Indian,Cold Drinks,North Indian,Italian,
9068,North Indian,Cold Drinks,Korean,,
9069,Chinese,Beverages,North Indian,Cold Drinks,Mexican
9070,Korean,Japanese,Chinese,,
9071,Korean,Italian,Mexican,North Indian,Chinese
9072,Mexican,Italian,Cold Drinks,,
9073,Korean,Italian,Mexican,Japanese,
9074,Korean,Italian,North Indian,Chinese,
9075,Chinese,,,,
9076,Mexican,Cold Drinks,Chinese,Beverages,
9077,Korean,,,,
9078,Beverages,,,,
9079,Korean,Fast Food,Cold Drinks,North Indian,Japanese
9080,Chinese,Beverages,Fast Food,Mexican,
9081,Cold Drinks,Fast Food,,,
9082,Chinese,Cold Drinks,,,
9083,Cold Drinks,Italian,Chinese,,
9084,Korean,North Indian,,,
9085,South Indian,Beverages,,,
9086,Chinese,Italian,Mexican,Fast Food,North Indian
9087,Mexican,North Indian,Chinese,Beverages,Fast Food
9088,South Indian,Mexican,,,
9089,Fast Food,Korean,Japanese,,
9090,Fast Food,Chinese,Beverages,,
9091,Korean,Italian,South Indian,,
9092,Cold Drinks,Japanese,,,
9093,Italian,Japanese,Korean,Cold Drinks,Fast Food
9094,Korean,Fast Food,Chinese,Mexican,
9095,Fast Food,,,,
